logical_offset,track2_raw_offset,byte_len,text,jp_chars,hiragana,katakana,kanji
0x144576E9,0x174FD8C9,12,ゲストハウス,6,0,6,0
0x144576F6,0x174FD8D6,18,アウストラルドーム,9,0,9,0
0x14457709,0x174FD8E9,10,コロシアム,5,0,5,0
0x14457714,0x174FD8F4,6,プール,3,0,3,0
0x1445771B,0x174FD8FB,16,アスレチックジム,8,0,8,0
0x1445772C,0x174FD90C,14,ダミアの占い館,7,2,3,2
0x1445773B,0x174FD91B,12,イベント会場,6,0,4,2
0x14457748,0x174FD928,18,バーチャルシアター,9,0,9,0
0x1445775C,0x174FD93C,14,ゾーンについて,7,4,3,0
0x1445776B,0x174FD94B,12,施設について,6,4,0,2
0x14457778,0x174FD958,12,その他、伝言,5,2,0,3
0x14457787,0x174FD967,14,リゾートゾーン,7,0,7,0
0x14457796,0x174FD976,16,エコロジーゾーン,8,0,8,0
0x144577A7,0x174FD987,14,スポーツゾーン,7,0,7,0
0x144577B6,0x174FD996,22,エンタｰテイメントゾｰン,10,0,10,0
0x144577CD,0x174FD9AD,14,サイバーゾーン,7,0,7,0
0x144577DC,0x174FD9BC,18,コントロールタワー,9,0,9,0
0x144577F0,0x174FD9D0,14,ゾーンについて,7,4,3,0
0x144577FF,0x174FD9DF,12,施設について,6,4,0,2
0x1445780C,0x174FDB1C,12,その他、伝言,5,2,0,3
0x144583C9,0x174FE809,55,@アウストラルアイランドの顔とも言うべきリゾートゾーン。,26,6,18,2
0x14458402,0x174FE842,159,@島の玄関口ともいえるウェルカムゲートや、この島での滞在のお役に立つホテルなどが建ち並んでいます。その他にも、島内の総ての情報もこちらで案内を受けることができま,76,45,11,20
0x144584A1,0x174FE8E1,82,すので、観光の拠点、また、おくつろぎの場として必ずお客様のお役に立つことでしょう。,37,27,0,10
0x144584F5,0x174FE935,157,@まず、リゾートゾーンで施設などの情報を集めて、観光の計画をしっかりと立てること。そうすれば、あなたにとっての最高のアウストラルアワーを過ごせることでしょう。,73,44,16,13
0x14458594,0x174FE9D4,87,@無計画に行動すると、その盛りだくさんのイベントやアトラクションに埋もれてしまいますよ。,41,23,11,7
0x144585ED,0x174FEA2D,43,@緑の木々と夏色の風が舞うエコロジーゾーン。,19,5,8,6
0x1445861A,0x174FEA5A,131,@物質的に満たされ始めた私達に、今必要なのは心の安らぎではないでしょうか。その安らぎを提供してくれるのが、このエコロジーゾーンです。,61,38,8,15
0x1445869F,0x174FEADF,55,@最近自然は減る一方で、触れる機会が少なくなっています。,25,14,0,11
0x144586D8,0x174FEB18,89,@そのために現代の子供達は本当の自然を知らないままに成人してしまうことが多くなっています。,43,30,0,13
0x14458733,0x174FEB73,159,@そんな子供達や、殺伐とした都会や人ごみに疲れた大人の方も、こちらで森林浴はいかがでしょうか。木々達の包容の中、もう一度、自然の優しさ、自然の偉大さ、自然の素晴,71,38,0,33
0x144587D2,0x174FEC12,58,らしさを感じ取り、その中でもう一人の自分を発見しましょう。,27,18,0,9
0x1445880E,0x174FED7E,29,@新しい自分に「こんにちは」。,11,8,0,3
0x1445882D,0x174FED9D,43,@飛び散る汗、はじける若さのスポーツゾーン。,19,8,7,4
0x1445885A,0x174FEDCA,23,@人類最大の敵とは何か？,10,4,0,6
0x14458873,0x174FEDE3,159,@私は「病気であること」と確信している。この見えざる敵を排除するには何よりも健康な体作りだ。この意見に賛同出来るものがいれば、今すぐスポーツゾーンへ来い！！運動,72,41,7,24
0x14458912,0x174FEE82,90,し汗をかく。う〜ん最高〜！！そうすれば体の悪いものなどみ〜んな出て行くぞ！！わっはっは！！,35,28,0,7
0x1445896E,0x174FEEDE,49,@なに〜！骨折しているから運動出来ないだと〜っ！！,19,13,0,6
0x144589A1,0x174FEF11,159,@骨折しているならこんな所へ遊びに来るな〜・・・と、言いたいところだが御安心召されい。スポーツは、行う楽しみの他に観る楽しみもあるのだ！安心して俺の所に来いっ！,73,46,7,20
0x14458A43,0x174FEFB3,35, いいか？とにかく来い！今すぐ来い！,14,11,0,3
0x14458A68,0x174FEFD8,31,@・・・言いたいのはそれだけだ。,14,10,3,1
0x14458A8E,0x174FEFFE,63,@レディースエンドジェントルメンおとっつぁんえ〜んどおっかさん。,29,14,15,0
0x14458ACF,0x174FF03F,49,@みんなの娯楽、エンターテイメントゾーンざんス〜！,21,6,13,2
0x14458B02,0x174FF072,61,@ここにはみんなが大好きなものがいっぱい詰まっているざんスよ。,29,25,1,3
0x14458B41,0x174FF0B1,159,@年中お祭り騒ぎのイベント会場。キミの好きなあの大スターもコンサートにやって来るかもしれないざんスよ。ミーもいつかはステージに立ちたいざんス。イベントの詳しい日,76,38,26,12
0x14458BE0,0x174FF150,30,程は伝言板に書いてあるざんス。,14,8,1,5
0x14458C00,0x174FF170,159,@その他にもヤングなレデーにバカウケの占いもあるざんス。しかも、ＥＳＰ占いと言うものらしいざんス。ミーもよく知らないけど超能力を使って占いをするらしいざんス。も,72,47,15,10
0x14458C9F,0x174FF20F,30,〜ボンジュ〜ルって感じざんス。,12,5,6,1
0x14458CBF,0x174FF22F,35,@さあ、みんなですぐ来るざんス〜！！,13,11,1,1
0x14458CE4,0x174FF254,79,@キミは電気羊の夢を見たことがあるか？もしも無ければサイバーゾーンへ来ることだ。,37,21,9,7
0x14458D35,0x174FF2A5,55,@とにかく来ればいい。すべての謎はそこで解き明かされる。,25,21,0,4
0x14458D6E,0x174FF2DE,21,@いい夢見させてやる。,9,7,0,2
0x14458D89,0x174FF2F9,30,関係無いが、うどんを４つくれ。,12,9,0,3
0x14458DA9,0x174FF319,49,@皆様の暮らしと安心を見つめるコントロールタワー。,23,8,9,6
0x14458DDC,0x174FF34C,111,@パスカード、防犯防止設備、各アトラクションなどアウストラルアイランドすべてのシステムを一挙に管理する場所です。,52,12,27,13
0x14458E4D,0x174FF3BD,47,@関係者以外の無断立入は固くお断りしております。,22,11,0,11
0x14458E7E,0x174FF3EE,103,@もし、誤ってコントロールタワー付近に近づいてしまった場合は速やかに警備員、係員の指示に従ってください。,48,24,9,15
0x14458EE7,0x174FF457,137,@このお約束さえ守っていただければ、警備員の配置、完璧な防犯・防火システムなどが皆様を安全で楽しいアウストラルアワーへとお迎えいたします。,65,31,14,20
0x14458F72,0x174FF4E2,109,@もちろん、パスカードのどんな小さな金銭トラブルも無いように細心の注意をはらって管理させていただいております。,52,33,9,10
0x14458FE1,0x174FF551,109,@なお、管理システムなどでお気付きの点、ご不満がございましたらコントロールタワー管理事務局まで御連絡ください。,51,23,13,15
0x14459050,0x174FF6F0,96,@電話番号はフリーダイヤル０ｘｘｘ-４１７０２６８４０、”良いなお風呂はよお”までお電話ください。,30,14,7,9
0x144590B2,0x174FF752,99,@アウストラルアイランド最大の宿泊施設であり、全室南洋の輝きを一望出来る、高級リゾートホテル”ホテル,46,8,21,17
0x14459116,0x174FF7B6,19,@南の島の白い四角”,8,3,0,5
0x1445912B,0x174FF7CB,83,@素晴らしい景観を楽しみながら、ゆったりと一日の疲れを癒すことができることでしょう。,39,30,0,9
0x14459180,0x174FF820,41,@ただいま２食昼寝つきフェアを実施中です。,18,9,3,6
0x144591AA,0x174FF84A,10,・収容人数,5,0,1,4
0x144591C1,0x174FF861,10,・総部屋数,5,0,1,4
0x144591D8,0x174FF878,20,・バス付き洋室・和室,10,1,4,5
0x144591ED,0x174FF88D,48,・朝食−地下２階バンケットホールでバイキング形式,22,1,14,7
0x1445921E,0x174FF8BE,74,・夕食−地下１階レストラン（和食・洋食・中華・フランス料理・イタリア料理）,33,0,18,15
0x14459269,0x174FF909,6,・場所,3,0,1,2
0x14459270,0x174FF910,15,@リゾートゾーン,7,0,7,0
0x14459280,0x174FF920,29,@ウェルカムゲートより徒歩５分,13,2,8,3
0x1445929F,0x174FF93F,99,@毎日約２万人が利用するウェルカムゲートはこの島の玄関口であり、島内の情報を提供する場でもあります。,46,20,8,18
0x14459304,0x174FF9A4,159,@ここには、各ゾーン、施設、イベント等の情報が全てインフォメーションボックス（今あなたが使用している機械）に入力されており、２４時間いつでも情報を閲覧することが,71,31,20,20
0x144593A3,0x174FFA43,10,できます。,4,4,0,0
0x144593AF,0x174FFA4F,159,@また、カウンターの係員も２４時間体制で配備してありますので、こちらでも問い合わせが可能です。こちらはアウストラルアイランド唯一の連絡機関、定期フェリーの”そら,72,32,20,20
0x1445944E,0x174FFAEE,130,まめ”、”あかかぶ”、”さとうきび”や、豪華客船”すてーきごひゃくぐらむ”等の出航時間など細かな情報のお問い合わせに御利用下さい。,54,35,1,18
0x144594D1,0x174FFB71,6,・場所,3,0,1,2
0x144594D8,0x174FFB78,15,@リゾートゾーン,7,0,7,0
0x144594E8,0x174FFB88,24,「森に抱かれて眠りたい」,10,7,0,3
0x14459502,0x174FFBA2,71,@当コテージは、本場カナダの職人が、一軒ずつ丹精込めて建築した逸品です。,32,11,7,14
0x1445954B,0x174FFBEB,159,@快適性のみではなく、性能面でも優れています。例えば、木造建築の常識を覆すほどの防火性能。その防火性は、一般住宅の約２倍。さらに、心を落ち着かせ、安らぎを与える,70,37,0,33
0x144595EA,0x174FFC8A,154,やさしい木の香りは、特殊技術”アラ、イツマデモイイカオリガツヅクノネ。アタシビックリ”（特許出願中）により半永久的に失われることが無いのも特徴の一つです。,69,24,25,20
0x14459686,0x174FFD26,159,@もちろん防犯設備も万全。蟻一匹といえども余計な進入を許さない完璧なセキュリティシステムと私達スタッフの完璧なサポートの元で、ゆっくりと自然を満喫していただける,77,34,18,25
0x14459725,0x174FFDC5,14,ことでしょう。,6,6,0,0
0x14459734,0x174FFDD4,14,・総コテージ数,7,0,5,2
0x1445974B,0x174FFDEB,28,・バス・トイレ・キッチン完備,14,0,12,2
0x14459768,0x174FFE08,6,・場所,3,0,1,2
0x1445976F,0x174FFE0F,17,@エコロジーゾーン,8,0,8,0
0x14459781,0x174FFE21,30,・詳しくはエコロジーゾーン内、,14,3,9,2
0x144597A0,0x174FFE40,23, コテージ管理事務所まで,11,2,4,5
0x144597D4,0x174FFE74,44,@重要人物)対象の宿泊施設がゲストハウスです。,20,4,6,10
0x14459802,0x174FFFD2,51,@ＶＩＰ以外の一般客の場合はリゾートゾーンの”ホテル,21,4,10,7
0x14459836,0x17500006,63,@南の島の白い四角”かエコロジーゾーンのコテージをご利用下さい。,29,9,12,8
0x14459876,0x17500046,6,・場所,3,0,1,2
0x1445987D,0x1750004D,17,@エコロジーゾーン,8,0,8,0
0x14459890,0x17500060,45,@話題騒然！世界最高峰の陸上競技の祭典予定地。,20,2,0,18
0x14459963,0x17500133,41,@利用したい団体等は、電話で申し込むこと。,18,9,0,9
0x1445998E,0x1750015E,81,@電話番号はフリーダイヤル０ｘｘｘ−４１７０２６８４０、”良いなお風呂はよお”まで,23,9,7,7
0x144599E0,0x175001B0,6,・場所,3,0,1,2
0x144599E7,0x175001B7,15,@スポーツゾーン,7,0,7,0
0x144599F7,0x175001C7,28,「血沸き肉踊る興奮のるつぼ」,12,6,0,6
0x14459A15,0x175001E5,47,@ここでは様々なスポーツの大会が催されています。,21,13,4,4
0x14459A46,0x17500216,151,@今週の目玉はなんといってもアルティメット大会！詳しい情報はインフォメーションボックス”その他、伝言”の項目内の”格闘技大会出場者募集”をご覧ください。,68,22,20,26
0x14459ADE,0x175002AE,6,・場所,3,0,1,2
0x14459AE5,0x175002B5,15,@スポーツゾーン,7,0,7,0
0x14459AF5,0x175002C5,28,「その時あなたは人魚になる」,12,9,0,3
0x14459B13,0x175002E3,115,@世界初の屋外型人工気温上昇機”熱帯野郎”の利用により、常に気温３４度、湿度６０パーセントを保つ屋外プール施設です。,48,10,8,30
0x14459B88,0x17500358,109,@さらに擬似オゾン層の生成により、有害な紫外線をカットして皮膚ガンの発生確率を激減させることにも成功しました。,52,24,8,20
0x14459BF7,0x175003C7,151,@これらの先進的技術投入により、世界初の”どこの国でも１年中入れる屋外プール”が誕生し、春夏秋冬を問わず、快適なプール日和を提供出来るようになりました。,68,31,6,31
0x14459C90,0x17500460,117,@ただし、なるべく自然の常夏を体感していただくため、雨への対処はしておりません。個々の判断でそれなりの配慮は必要です。,53,37,0,16
0x14459D06,0x175004D6,6,・場所,3,0,1,2
0x14459D0D,0x175004DD,15,@スポーツゾーン,7,0,7,0
0x14459D1D,0x175004ED,22,「汗とダンベルの饗宴」,9,2,4,3
0x14459D35,0x17500505,45,@信頼のインストラクターと安全性の高いマシン。,21,4,11,6
0x14459D64,0x17500534,55,@肉体の鍛練とともに瞑想センターで精神の鍛練も可能です。,26,10,4,12
0x14459D9D,0x1750056D,45,@リラクゼーション目的にも、ぜひご利用下さい。,20,7,8,5
0x14459DCB,0x1750059B,6,・場所,3,0,1,2
0x14459DD2,0x175005A2,15,@スポーツゾーン,7,0,7,0
0x14459DE2,0x175005B2,24,「未知なる迷宮への誘い」,10,5,0,5
0x14459DFC,0x175005CC,57,@当館の主”ダミア”は占い師であり、超能力者でもあります。,24,12,3,9
0x14459E37,0x17500607,87,@この二つの力により、マイナスだった運勢を全てプラスの方向に変えてしまうことができます。,41,26,7,8
0x14459E90,0x17500660,77,@もちろん元々プラスの運勢の場合でも、さらに良い運勢へと導かれることでしょう。,35,23,3,9
0x14459EDF,0x175006AF,105,@その方法は、占いで相手の運勢を調べ、その結果に応じて潜在能力を引き出し、未来を良い方向へと導くものです。,48,25,0,23
0x14459F4A,0x1750071A,137,@効果ありとの評判で、アウストラルアイランドの中でも多くの人気を集めている。特に占い好きの若い女性客への人気は、他の施設を圧倒しています。,64,30,11,23
0x14459FD5,0x175007A5,95,@「潜在能力は誰しもが持っているものであり、効果は必ずある。」とダミア本人は静かに語ってくれた。,42,26,3,13
0x1445A035,0x17500935,6,・場所,3,0,1,2
0x1445A03C,0x1750093C,25,@エンターテイメントゾーン,12,0,12,0
0x1445A056,0x17500956,14,「うねる人の波,6,4,0,2
0x1445A06B,0x1750096B,21,@吹き荒れる歓声の嵐」,9,4,0,5
0x1445A082,0x17500982,53,@イベント会場ではいろいろな催し物が計画されています。,25,15,4,6
0x1445A0B9,0x175009B9,119,@第１弾は”ミスアウストラルコンテスト”。南洋に輝くアウストラルアイランドの女王にふさわしい女性を決めるコンテストです。,54,15,29,10
0x1445A132,0x17500A32,54,@第２弾は、サラのヒーリングツアー’９５ 「ヒヤシンス」,19,2,15,2
0x1445A16A,0x17500A6A,103,@あの世界的スターであり、超能力シンガーでもある”サラ・マーシャ”のスペシャルコンサートを開催予定です。,47,13,24,10
0x1445A1D3,0x17500AD3,117,@上記の情報の詳細はインフォメーションボックス内”伝言・その他”の項目内で閲覧することができます。どうぞご覧ください。,54,24,14,16
0x1445A249,0x17500B49,6,・場所,3,0,1,2
0x1445A250,0x17500B50,25,@エンターテイメントゾーン,12,0,12,0
0x1445A26A,0x17500B6A,22,「仮想と現実が交差する,10,4,0,6
0x1445A286,0x17500B86,23,@アメージングワールド」,10,0,10,0
0x1445A29F,0x17500B9F,159,@現代科学の粋を集めた、アウストラルアイランドのバーチャルシアターは、一般的なバーチャルリアリティー施設とは大きな違いがあります。それは、自分の体ごと仮想空間へ,75,24,31,20
0x1445A33E,0x17500C3E,40,と映しだす新技術を採用していることです。,19,13,0,6
0x1445A368,0x17500C68,141,@これまでのバーチャルリアリティ空間といえば、ＣＧ（コンピューターグラフィックス）化された自分の手や体が視界に入っているものがほとんどでした。,64,30,24,10
0x1445A3F7,0x17500CF7,145,@しかし、このバーチャルシアターは、自分と同じ身体の特徴を持ち、リアルタイムで取り込まれた本人の表情も、そのまま仮想空間の自分へと送られています。,67,31,15,21
0x1445A48A,0x17500D8A,91,@あなたも自分自身が”仮想空間”というもう一つの”現実”にいると錯覚してしまうことでしょう。,40,27,0,13
0x1445A4E6,0x17500DE6,6,・場所,3,0,1,2
0x1445A4ED,0x17500DED,15,@サイバーゾーン,7,0,7,0
0x1445A503,0x17500E03,23,>サラコンサートの御案内,11,1,7,3
0x1445A51C,0x17500E1C,95,@母なる大地のメッセージを”歌”という文化に乗せ、病める人々へヒーリングボイスを送る現代の天使。,42,15,13,14
0x1445A57D,0x17500E7D,81,@今話題の世界的超能力シンガー”サラ・マーシャ”ついにアウストラルアイランド上陸！,37,4,22,11
0x1445A5D0,0x17500ED0,27,@地上に天使が舞い降りる！！,11,5,0,6
0x1445A5F2,0x17500EF2,19,>ミスコン出場者募集,9,0,4,5
0x1445A606,0x17500F06,22,「栄光の光り輝く王冠は,10,4,0,6
0x1445A62A,0x17500F2A,15,@誰の頭上に！」,5,2,0,3
0x1445A63B,0x17500F3B,131,@栄えあるミスアウストラルコンテスト出場者募集。１６才〜２３才までのプロポーションに自信のあるあなた！その美しさを、すべての人々に！,55,23,20,12
0x1445A6C0,0x17500FC0,95,@出場希望者はエンターテイメント・ゾーン内イベント会場・ミスアウストラルコンテスト受け付けまで。,46,5,31,10
0x1445A721,0x17501021,31,@その時、私は南洋の真珠になる。,13,7,0,6
0x1445A75E,0x1750105E,23,@異種格闘技王者決定戦！,10,0,0,10
0x1445A777,0x17501077,107,@力と力、技と技とのぶつかり合い！我こそは最強、我こそは無敵なりと思う１６才〜２５才までの女性出場者大募集。,44,22,0,22
0x1445A7E4,0x175010E4,41,@ただし！命の保証はいたしませんよ・・・。,18,12,3,3
0x1445A80F,0x1750123F,73,@出場希望者はスポーツ・ゾーン内コロシアム・アルティメット大会受け付けまで,36,5,21,10
0x1445A85A,0x1750128A,25,@私は強く、そして美しい。,10,7,0,3
0x1445A87A,0x175012AA,21,>大好評ダミアの占い館,10,2,3,5
0x1445A891,0x175012C1,121,@人は誰でも生まれ持っての潜在能力を持っています。その能力を限界まで引き出して、あなたの未来を明るくして差し上げましょう。,57,37,0,20
0x1445A90C,0x1750133C,51,@占い師ダミアがあなたのお越しをお待ち申し上げます。,24,15,3,6
0x1445A946,0x17501376,23,>バーチャルシアター誕生,11,0,9,2
0x1445A95F,0x1750138F,51,@コンピューターで作られた仮想現実空間での冒険浪漫。,24,6,7,11
0x1445A994,0x175013C4,159,@中世のヨーロッパ、アメリカ開拓時代、未来の宇宙、禁酒法時代のアメリカ、江戸時代の５つの世界をあなた自身が主人公となって物語を進める最新鋭バーチャルシアターが新,74,19,22,33
0x1445AA3D,0x1750146D,47,@もうあなたは仮想と現実との区別が付かなくなる！,22,15,0,7
0x1445AA73,0x175014A3,19,>テナント入居者募集,9,0,4,5
0x1445AA88,0x175014B8,131,@テナント入居希望者募集のお知らせ。抜群の立地条件に超格安の賃料！超激安！！短期で高収入を得たい方に超最適、超快適！もう早い者勝ち。,58,16,4,38
0x1445AB0D,0x1750153D,67,@これまでの入居者の方々は世界に進出される大成功を収められています。,31,19,0,12
0x1445AB64,0x17501594,23,@入居者募集のお知らせ。,10,4,0,6
0x1445AB7D,0x175015AD,93,@だれにも邪魔されない、あなただけの個室。賃料格安、住みごごち快適。一度住んだら止められない。,41,26,0,15
0x1445ABDC,0x1750160C,21,@今すぐお申し込みを！,9,6,0,3
0x1445AC0F,0x1750163F,159,@「冷たいものが歯にしみるぅ。暖かくしてるとズキズキするぅ。痛くて痛くて顔もはれるぅ。こんなんじゃ、お嫁にも行けなーい、もう人生お終いだー！」・・・なんて方は少,71,49,9,13
0x1445ACAE,0x175016DE,22,なくないんじゃないの？,10,10,0,0
0x1445ACC6,0x175016F6,47,@でも、もう安心。そんな人の悩みを一挙解決です。,20,12,0,8
0x1445ACF7,0x17501727,137,@わが松戸歯科医院なら、あなたもきっと満足。どんな小さな虫歯の痛みも、根元からカット。見逃しません。皆様の御来院、心からお待ちしています。,61,35,3,23
0x1445AD82,0x175017B2,23,@歯痛は突然ヤッテクル！,10,1,5,4
0x1445ADA0,0x175017D0,15,>妙な店の御案内,7,2,0,5
0x1445ADB1,0x175017E1,159,@「スープについてくるスプーンの曲がり具合、狂った磁石の指し示す方角、黄色い水たまりに映りこむ空、生き物のはく息の色、地中のミミズの鳴き声、燃えた階段の臭い、巻,72,34,10,28
0x1445AE50,0x17501880,72,"き貝の穴をのぞいて見える黒、これ、全て""妙""なんです。フフフ、妙・・・。」",29,16,6,7
0x1445AE9F,0x175018CF,23,>ゲームショップの御案内,11,1,7,3
0x1445AEB8,0x175018E8,51,@「イェーイ、ゲーム大好きのキミに嬉しい情報だぜィ。,22,7,10,5
0x1445AF8C,0x175019BC,148,けに年中無休！！やったぜィ、あえて最近覚えた英語で言うなら、ヤァイクス！！こりゃあ、来ない訳にはいかないぜ。そんじゃ、待ってるぜ、ベイビィーッ！！」,61,36,12,13
0x1445B027,0x17501B87,15,>スリ団に注意！,6,1,2,3
0x1445B038,0x17501B98,121,@只今、スリによる被害が急増中です。治安管理部としては、島内にスリ団が潜伏しているものと推測し、その摘発に全力投球中です。,55,25,4,26
0x1445B0B3,0x17501C13,69,@どうか、お手元の品、特に、貴重品、パスカードには、十分ご注意下さい。,28,11,5,12
0x1445B0FF,0x17501C5F,27,>アスレチック・ジムの御案内,13,1,9,3
0x1445B11C,0x17501C7C,117,@当アスレチック・ジムはお客様の健康と美貌をより一層のものにするため、最新の機材と、清潔なスペースを用意しております。,55,25,13,17
0x1445B193,0x17501CF3,97,"@さらに、本来の会員システムの他に、""無料体験コース""を始めとする特別待遇システムを導入致しました。",44,16,11,17
0x1445B1F6,0x17501D56,69,@初めてのお客様にも、お気軽にご利用頂けます。是非一度、御来館下さい。,30,14,0,16
0x1445B242,0x17501DA2,25,>香書院麗羅リサイタル開催,12,0,5,7
0x1445B25D,0x17501DBD,25,@「香書院麗羅リサイタル」,10,0,5,5
0x1445B278,0x17501DD8,25,@必ずあなたを虜にします。,11,9,0,2
0x1445B298,0x17501DF8,27,>トイレ利用のマナーについて,13,5,6,2
0x1445B2B5,0x17501E15,123,@最近、利用者による落書きが増えています。トイレは公共の施設です。いつでも気持ち良く利用出来るように、きれいに使いましょう。,56,33,3,20
0x1445B332,0x17501E92,29,@あなたのモラルに期待します。,13,8,3,2
0x1445CE22,0x17503D12,24,船の乗客で混雑している。,11,6,0,5
0x1445CE3B,0x17503D2B,32,それにしても、女の子ばかりだな。,14,12,0,2
0x1445CE5C,0x17503D4C,30,本っ当に、女の子しかいないな。,13,9,0,4
0x1445CE7B,0x17503D6B,30,居るのが恥ずかしくなってきた。,14,12,0,2
0x1445CE9A,0x17503D8A,32,あそこが、パスを貰える所らしい。,14,10,2,2
0x1445CEBB,0x17503DAB,24,なんだか税関みたいだな。,11,9,0,2
0x1445CED4,0x17503DC4,26,係の娘はなかなかの美人だ。,12,8,0,4
0x1445CEEF,0x17503DDF,30,てきぱきと仕事をこなしている。,14,12,0,2
0x1445CF0E,0x17503DFE,40,おっと、ゲスト登録をしないといけないな。,18,13,3,2
0x1445CF37,0x17503E27,26,ここは島内の情報が集まる、,12,7,0,5
0x1445CF52,0x17503E42,28,総合問い合わせカウンターだ。,13,4,5,4
0x1445CF6F,0x17503E5F,26,何かわかるかもしれないな。,12,11,0,1
0x1445CF8A,0x17503E7A,28,総合問い合わせカウンターだ。,13,4,5,4
0x1445CFA7,0x17503E97,42,右には、インフォメーション・ＢＯＸがある。,16,5,10,1
0x1445CFD2,0x17503EC2,24,ちょっと見てみようかな？,11,10,0,1
0x1445CFEB,0x17503EDB,8,変だぞ。,3,2,0,1
0x1445CFF4,0x17503EE4,30,昨日の船で帰ったとしたら、今朝,14,8,0,6
0x1445D013,0x17504033,32,コテージを引き払えるはずがない。,15,9,4,2
0x1445D034,0x17504054,32,誰かがデータをいじっているのか？,15,11,3,1
0x1445D055,0x17504075,32,でも、誘拐ならどうして美紅ちゃん,15,11,0,4
0x1445D076,0x17504096,40,本人がチェックアウトするんだよ・・・？？,18,6,10,2
0x1445D09F,0x175040BF,32,とにかく、まだここにいるはずだ。,14,14,0,0
0x1445D0C0,0x175040E0,28,船の時間が来るまでに捜そう。,13,8,0,5
0x1445D0DD,0x175040FD,18,うん、ちょっとね。,7,7,0,0
0x1445D0F0,0x17504110,10,はいはい。,4,4,0,0
0x1445D0FB,0x1750411B,34,こんな所に、数少ない男性客がいる。,15,9,0,6
0x1445D11E,0x1750413E,24,何か悩んでるみたいだな。,11,9,0,2
0x1445D137,0x17504157,18,重大な秘密・・・？,8,1,3,4
0x1445D14A,0x1750416A,32,いえ、ちょっと気になったもので。,14,13,0,1
0x1445D16B,0x1750418B,28,事情を聞かせてくれませんか？,13,10,0,3
0x1445D188,0x175041A8,24,この島での出来事ですか？,11,7,0,4
0x1445D1A1,0x175041C1,20,行方不明とか・・・。,9,2,3,4
0x1445D1B6,0x175041D6,24,船の乗客で混雑している。,11,6,0,5
0x1445D1CF,0x175041EF,30,正面に見えるのが、ゲスト登録の,14,6,3,5
