priority,jp_text,occurrences,kind,first_logical_offset,kr_text,status
279,"試合の相手はハンマーヘッド郷田だ。
体のデカさは美紅ちゃんの２倍以上。
てことは、パワーは・・・",1,script_like,0x148CE067,,UNTRANSLATED
280,"それにしても、みずえちゃんはもっと
内気な女の子だと聞いてたぜ。
いったい何があったんだろう？",10,script_like,0x144F6C79,,UNTRANSLATED
281,"有名人だから、人の多い所じゃないな。
しかも、高級な建物のはず・・・。
そんな場所あったっけ？",10,script_like,0x144F72EA,,UNTRANSLATED
282,"気が重いけど、コテージに戻って、
あいつに教えてやろう。
いつまでも待たせておいたら気の毒だ。",7,script_like,0x149B717C,,UNTRANSLATED
283,"食べ物や飲み物以外に、カジノも
付いている。ここにいると
試合なんか見なくても、楽しめそうだ。",5,script_like,0x148A78A9,,UNTRANSLATED
284,"そう言えば、この島の運営団体って
表には名前が出てこないけど、
並の企業には出来っこないよな。",4,script_like,0x14905CD0,,UNTRANSLATED
285,"エドがサラに呼び掛けるんだ。
もう全てを終わらせるんです！
美紅ちゃんもそれを望んでいるはず。",3,script_like,0x14BA6681,,UNTRANSLATED
286,"『落書を分解するセルフクリーニング
 素材を使用しました』
落書見るの楽しみだったのに・・・。",2,script_like,0x14A4711E,,UNTRANSLATED
287,"うぉぉー！ペンじゃなくて紙が
無いって言ってるだろが〜！！！
・・ハァハァハァ。だめだこりゃ！",2,script_like,0x14A47754,,UNTRANSLATED
288,"うーん、ちょっとおとなしいかな。
美紅ちゃんは素敵なんだから、
もっと大胆な方がいいと思うな。",2,script_like,0x14996504,,UNTRANSLATED
289,"おお、これは再生紙じゃないぞ。
安い紙ってガサガサなんだよね。
ときたま破れてビックリするし。",2,script_like,0x14A46A68,,UNTRANSLATED
290,"他のゾーンと違って、ここは静かだ。
ここがテーマパークだってことを
思わず忘れてしまいそうだ。",2,script_like,0x1475678C,,UNTRANSLATED
291,"ＥＳＰ占いと言いながら、
店の内装はオカルトティックになっている。
まぁ、こういうのは演出だ。",2,script_like,0x14A26A2D,,UNTRANSLATED
292,"あんまり気が乗ってないようだね・・・。
だって、美紅ちゃんも汐里ちゃんに負ける気はしないだろ？",1,script_like,0x148CEE9D,,UNTRANSLATED
293,"そんなことを言われても、簡単に納得
できるわけがないだろう。
一通り説明してもらいましょうか！",1,script_like,0x14AE6CCF,,UNTRANSLATED
294,"まただよ・・・またもや
パスカード紛失？事件の発生だ。
また、どっかに入ってるぜ・・・・・・。",1,script_like,0x14BF6007,,UNTRANSLATED
295,"外から見た時は確かに３階建てだった。
しかし、このボタンには４階がある！
そうか、隠し部屋か！",1,script_like,0x14AE6D55,,UNTRANSLATED
296,"総合問い合わせカウンターだ。
右には、インフォメーション・ＢＯＸがある。
あとで、見に来よう。",1,script_like,0x144B5D81,,UNTRANSLATED
297,ｫｪ坎ャャャ坎ャャャ坎ャャャ坎ャャャ坎ャャャ坎ャ噬囹坎ャ噬ｪｪ坎ャ噬ｫｫｂｂｂｂｂｂｂ屁ｂｂ屁,1,script_like,0x15A1853E,,UNTRANSLATED
298,"信じられないな・・・。
だって、さっき君は血を流していたじゃないか。それに体温だって・・・。",10,script_like,0x144F6B4C,,UNTRANSLATED
299,"美紅ちゃんがいた部屋だ。
偶然かもしれないけど、もしかすると
何か関連があるのかもしれない。",6,script_like,0x14757276,,UNTRANSLATED
300,"よーし、俺が出てみるか。
・・・なんだ、「女性に限る」か。
どう？美紅ちゃん、出てくれない？",5,script_like,0x1445D827,,UNTRANSLATED
301,"大丈夫。
俺とハニーちゃんの組み合わせなら、いい結果がでるさ。
大会もパンサークローも、ね。",5,script_like,0x1445D9C1,,UNTRANSLATED
302,"良い子のみんな！　まねしちゃダメだぞ！
これはネコババと言って
本当は悪いことなんだからね。",4,script_like,0x14717858,,UNTRANSLATED
303,"『ガキの頃、学校で　”大”　をすると
 酷い目にあうよな』
『俺は職員用を使ってごまかした』",2,script_like,0x14A47029,,UNTRANSLATED
304,"しょうがない・・・。
このままにしていこう。

良い子のみんなは絶対に
まねしちゃダメだよ。",2,script_like,0x14A47940,,UNTRANSLATED
305,"ん？花の香りがする・・・。
今回は香り付きペーパーか。
さすがはリゾート。サービスが違うね。",2,script_like,0x14A46BF3,,UNTRANSLATED
306,"ぎょぎょっ！ぱ！ぱ！ぱ！ぱ！
ぱ！ぱ！ぱすかーどが・・・・
・・・・・・・なーーーーーい！？",1,script_like,0x14BF5E37,,UNTRANSLATED
307,"ということは、美紅ちゃんは無事？？
俺は夢でも見ていたのか・・・？
いや、そんなはずは無い。",1,script_like,0x14AE70E6,,UNTRANSLATED
308,"コテージ管理事務所だ。
ここでなら、美紅ちゃんの部屋が
空室になっていた理由がわかるはずだ。",1,script_like,0x14AE7006,,UNTRANSLATED
309,"・・・・・・・・・・・・・・・・・・・・・・・・・


なんだ、兄貴に目覚めた元普通の人か。",1,script_like,0x14665E67,,UNTRANSLATED
310,"サラには、何も不安がないようだ。
確信にみちている。
この強さは一体どこから来るのだろう。",12,script_like,0x147877A3,,UNTRANSLATED
311,"あの男がいなくなってるね。
・・・大丈夫かなー、あいつ。
結構、思い詰めた様子だったけど。",11,script_like,0x14AF6211,,UNTRANSLATED
312,"肉がおいてあるが、何日かたってるな。
とても、うまそうには見えない。
おまえ、腹こわすぞ。",11,script_like,0x14AF64B9,,UNTRANSLATED
313,"そんなに簡単なことじゃないよ。
俺だって命は惜しいさ。
でもそんな損得だけの問題じゃない。",10,script_like,0x144F7947,,UNTRANSLATED
314,"やっぱり瞑想してるよ・・・。
それにメンバーが変わってない。
本当に瞑想好きな人達だなぁ。",5,script_like,0x149473DD,,UNTRANSLATED
315,"アルティメット大会か。
パンサー魔女候補の能力を計るには
ちょうどいい場所じゃないのかな。",5,script_like,0x148A6BEB,,UNTRANSLATED
316,"カードのパーソナルＩＤが無い者は
この島のほとんどの施設が
利用できないようになっている。",5,script_like,0x149464BC,,UNTRANSLATED
317,"お待たせいたしました。
またまた開ける時がやってきました。
それでは行かせていただきます。",4,script_like,0x1471794C,,UNTRANSLATED
318,"いや、ほら、パンサークローのアジトが
どこにあるかわからないでしょ。
だから、ほら・・・。",2,script_like,0x14995F7A,,UNTRANSLATED
319,"なになに・・・。
『トイレはきれいに使いましょう』か。
もっともだけど楽しみだったのにな。",2,script_like,0x14A46F61,,UNTRANSLATED
320,"そんなことないって。
ただ、この作戦、もしかしたらひかるちゃんでも難しいかもしれない・・・",1,script_like,0x148CDCD7,,UNTRANSLATED
321,"もうバッチリバッチリ。美紅ちゃんが心配することなんてなーんも無いよ。
行ってらっしゃーい。",1,script_like,0x148CE2E1,,UNTRANSLATED
322,"ん、ＥＳＰ占い？
　なになに・・・、あなたの未来を潜在能力から読み取りますぅ？何だかなー。",1,script_like,0x14495AA2,,UNTRANSLATED
323,"パスカード、どこにしまったっけ。
もう、慣れちゃったよなぁ・・・。
ほら、やっぱりあった。",1,script_like,0x14BF5FAE,,UNTRANSLATED
324,＝＝荘¢＝＝荘¢＝＝早¢＝＝早荘＝＝早荘＝＝早荘¢＝早荘¢＝早荘¢＝早荘荘＝早荘荘＝＝＝＝,1,script_like,0x159F562C,,UNTRANSLATED
325,"ゲストハウスに、専用の警備員室か。
こりゃ、ＶＩＰが泊まっているのに
間違いなさそうだ。",12,script_like,0x14786B48,,UNTRANSLATED
326,"建物の造りが妙に豪華だな。
秘密の施設なんかじゃなく、
ＶＩＰ用の施設なのかもしれない。",12,script_like,0x14786503,,UNTRANSLATED
327,"あの男、いなくなってるね。
あの場は、きついこと言っちゃったけど、
ちょっと、心配だな。",11,script_like,0x14AF62FB,,UNTRANSLATED
328,"それに美紅ちゃんのことも心配だし。
何もしないで、しっぽ巻いて
帰るなんてできるもんか！",10,script_like,0x144F6D25,,UNTRANSLATED
329,"ハニーちゃんって、ずいぶん
お金持ちみたいだけど、まさか
あの力でお金も作り出すのかい？",10,script_like,0x144F5A2A,,UNTRANSLATED
330,"それにしても、男ばっかし。
女の子しかいないと思ってたのに、
今までどこにいたんだろう？",7,script_like,0x149B6E62,,UNTRANSLATED
331,"申し込みはここで行うらしい。
それにしても、どこを見ても
美女ばっかりだ。来てよかった。",7,script_like,0x149B7978,,UNTRANSLATED
332,"おお！これこそは、
鱒井ホームランカード・日本シリーズ１号！！
これ、欲しかったんだー！",4,script_like,0x14906548,,UNTRANSLATED
333,"美人の受付嬢が、こちらに微笑んでる。
仕事上の笑顔と、わかっていても
悪い気はしないな。",3,script_like,0x14A668B6,,UNTRANSLATED
334,"『して会何人？
 耳の声　見えない電波
 パンチ力かこめば勝てる』
・・・なんだこりゃ？",2,script_like,0x14A479FB,,UNTRANSLATED
335,"しかし、この島にいるのなら、
なぜ、連絡してこないんだろう？
いかん、信じかかっている。",2,script_like,0x14A26AE0,,UNTRANSLATED
336,"早くパスカードを見つけなくちゃ！！
あれが無いと、ハニーちゃんの水着姿が
見れない〜！！",2,script_like,0x14995FD3,,UNTRANSLATED
337,"暗い中にろうそくの明りに照らされた
占い師がいる。
美人だが、ちょっとキツい感じがする。",2,script_like,0x14A26C88,,UNTRANSLATED
338,"いっ・・・いやーホントーにむかつくよねもう、バカヤローッて感じ。
はは、はは、はぁ・・・",1,script_like,0x148CE00F,,UNTRANSLATED
339,"そんなことないって。
ただ、この作戦、もしかしたら美紅ちゃんでも難しいかもしれない・・・",1,script_like,0x148CF883,,UNTRANSLATED
340,ひかるちゃん・・・あんまり本気にならないでね。ひかるちゃん切れると見境い無くなるから・・,1,script_like,0x148CD06E,,UNTRANSLATED
341,"まあ、話を最後まで聞いて。
その投げられる瞬間に、ひかるちゃんが自分でジャンプするんだ。",1,script_like,0x148CDC36,,UNTRANSLATED
342,"真っ直ぐ立っていられない部屋や、
坂を転がり上がる物理法則を無視する
ボールなどがある。",1,script_like,0x14AE6B9C,,UNTRANSLATED
343,"ここに居た男が、いなくなってるね。
さみしそうにしていたけど、
大丈夫だったのかなぁ。",11,script_like,0x14AF6394,,UNTRANSLATED
344,"前に来た脅迫状と同じ奴からだ。
「偉大なる存在」に何か心当たりは
ない？ハニーちゃん。",10,script_like,0x144F5F49,,UNTRANSLATED
345,"ガラスにはいろっぽい美紅ちゃんの
姿が映っている。
綺麗なラインについ見とれてしまう。",6,script_like,0x14757C48,,UNTRANSLATED
346,"ここは、やつらの拠点だった・・・。
やつらは、どこまで
この島に入りこんでるんだろう？",5,script_like,0x148A6F55,,UNTRANSLATED
347,"へーっ！意外だなぁ。
もっと、むさくて、暑苦しい所だと
思ったけど、明るくてきれいだ。",5,script_like,0x149465D9,,UNTRANSLATED
348,"ちょっと聞きたいことがあるんだけど。
最近このへんで、何か怪しいことは
無かったかな？",4,script_like,0x14615C86,,UNTRANSLATED
349,"俺と「ロッカー男」の間には、
わずかだが、確かな友情のきずなが
築かれつつある・・・。",4,script_like,0x14717153,,UNTRANSLATED
350,"あーあ。これ、やってみたいなー。
ハニーちゃーん、お願い！！
君のパスカードで・・・。",3,script_like,0x14A667CF,,UNTRANSLATED
351,"ここはバーチャルシアターだ。
コンピューターで作られる
仮想現実空間での冒険ができる。",3,script_like,0x14A664EF,,UNTRANSLATED
352,"『おかげで私はみっちゃんと呼ばれた』
『俺なんか、そのまま出なかったら水をかけられた』",2,script_like,0x14A4708E,,UNTRANSLATED
353,"けど、ハニーちゃんだったら
普通の娘じゃ着れないデザインだって
似合うと思うのになぁ。",2,script_like,0x149962D2,,UNTRANSLATED
354,"けどさ、美紅ちゃんだったら
普通の娘じゃ着れないデザインだって
似合うと思うのになぁ。",2,script_like,0x149965EB,,UNTRANSLATED
355,"なんだなんだ、これまたおとなしそうな子が出て来たなぁ。
あんな細い腕で戦えるのかなぁ。",2,script_like,0x148CD552,,UNTRANSLATED
356,"客がいつも数人待っている。
常連の様だが、何をそんなに
見てもらうことがあるんだろう？",2,script_like,0x14A264CA,,UNTRANSLATED
357,"落書きか。どれどれ・・・


『この島の男子トイレって
 いつも混んでるんだよナー。』",2,script_like,0x14A46B7C,,UNTRANSLATED
358,"あのじいさんのプライドじゃあ、
俺には死んでも助けてくれなんて、
言うわけないもんな。",1,script_like,0x14BE78F0,,UNTRANSLATED
359,"いっ・・いやーホントーにむかつくよねもう、バカヤローッて感じ。
はは、はは、はぁ・・・",1,script_like,0x148CFBB0,,UNTRANSLATED
360,"まあ、話を最後まで聞いて。
その投げられる瞬間に、美紅ちゃんが自分でジャンプするんだ。",1,script_like,0x148CF7E4,,UNTRANSLATED
361,"・・・・あっ！この感触は・・・・
カードだっ！
しかし、なぜぱんつの中なんかに・・・。",1,script_like,0x14BF610C,,UNTRANSLATED
362,"そんな可愛いものじゃない。
やつらの指導者は魔界のボスだ。
我々の常識は通用しない。",12,script_like,0x147875E6,,UNTRANSLATED
363,"そういうことか・・・。
しかし、なんちゅうじじいだ。
ところで、どこに行ったんだい？",10,script_like,0x144F742E,,UNTRANSLATED
364,"いや、しかし、キミの彼氏・・・。
と、信じてる人がコテージで
心配して待っているよ。",7,script_like,0x149B6FB5,,UNTRANSLATED
365,"くれぐれも言うけど、良い子は
絶対に真似しちゃだめだよ。
拾ったら交番に届けようね。",7,script_like,0x149B74E5,,UNTRANSLATED
366,"しかし、立ち入り禁止ぐらいで、
帰るわけにはいかない。
なんとか、中を調べてみよう。",7,script_like,0x149B6DBA,,UNTRANSLATED
367,"うっ！このすえた匂いは・・・。
この汗臭さが男のもんだと
思っただけでうんざりする。",5,script_like,0x14946C8A,,UNTRANSLATED
368,"ここは島内の情報が集まる、
総合問い合わせカウンターだ。
何かわかるかもしれないな。",5,script_like,0x1445CF37,,UNTRANSLATED
369,"まったく、パンサークローは
どこにいるんだろう？
看板でも出しとけばいいのに・・・。",5,script_like,0x148A715E,,UNTRANSLATED
370,"おお！これこそは、
伝説のレッズ・サポーターズ・グッズ！！
これ、欲しかったんだー！",4,script_like,0x14906467,,UNTRANSLATED
371,"この島で何があったのかなぁ？
誘拐犯に関係があって、
行方不明になってるとか・・・。",4,script_like,0x14716CE2,,UNTRANSLATED
372,"いや、そこまでは気がまわらなかった。
たしかに、ここなら何かわかるかも
しれないな。",2,script_like,0x148860EE,,UNTRANSLATED
373,"その・・・何つーか、
このグーッとなってて、
キュキュッとして、バーッとなってる奴。",2,script_like,0x14996327,,UNTRANSLATED
374,"だいじょーぶ、だいじょーぶっ！
俺がついてる。
だからおもいっきりやってきなさいっ！",2,script_like,0x148CD3B6,,UNTRANSLATED
375,"我、汝の願い聞き入れたり。
汝の紙は、金の紙ですか？
それとも、ただの再生紙ですか？",2,script_like,0x14A477C2,,UNTRANSLATED
376,"謎の連続失踪事件。
そして、どの娘もこの島での行動を
最後に消息を絶っているという。",2,script_like,0x1475706E,,UNTRANSLATED
377,"ははは・・・ケーセラーセラー、みーんなひかるちゃんに任せちゃうよーん。
ははは・・・",1,script_like,0x148CD88D,,UNTRANSLATED
378,"・・・あ、あった、良かった。
ＩＤが識別できないと
トイレにもいけないからな・・・。",1,script_like,0x14BF5E92,,UNTRANSLATED
379,"わ！ハ、ハニーちゃん！
凄い！と、とても良く似合ってるよ！
（あー、びっくりした）",12,script_like,0x147871E2,,UNTRANSLATED
380,"出入りをチェックする警備員が
立っている。
おっと、これ以上前に出ると見つかるな。",12,script_like,0x147865F5,,UNTRANSLATED
381,"いろいろ事情はあるんだろうけど、
一度かわいがった動物を捨てるなんて
ひどいよな。",11,script_like,0x14AF626A,,UNTRANSLATED
382,"いくら空中元素固定装置で
きれいになっても、あんなことの後じゃ
気持ち悪いもんな。",10,script_like,0x144F76FF,,UNTRANSLATED
383,超豪華ホテルのレストランだけあって、ここで食事をしたら、ものすごく高くつきそうだ。,10,script_like,0x144F6421,,UNTRANSLATED
384,"うーん。
出場してもだいじょうぶかなー。
とりあえず、出場エントリーはしとこうか。",5,script_like,0x148A6EB7,,UNTRANSLATED
385,"ここまでにしておこう。
プログラム停止。コンピューター、出るぞ！
・・・なんてね。",5,script_like,0x14A97768,,UNTRANSLATED
386,"それじゃ、ハッキリ言ってやるぜ。
俺は、力で女を奪おうなんて奴が
大嫌いなんだよ。",5,script_like,0x14A9787E,,UNTRANSLATED
387,"アスレチックジムだ。
せっかく会員になっているのに、
パスカードが無いと入れない。",5,script_like,0x14946439,,UNTRANSLATED
388,"シートに汗が染み込んでいる。
気持ちわりィ！
学校の剣道マスクを思いだすよ・・・。",5,script_like,0x14946E3A,,UNTRANSLATED
389,"他に比べれば人は少ない。
さすがに、ここに来てまで
自分をいじめなくてもいいよな。",5,script_like,0x149461E1,,UNTRANSLATED
390,"ああ。ついに打ち止めか。
さみしいな。ただのロッカーじゃ
もう満足できない・・・。",4,script_like,0x1471724B,,UNTRANSLATED
391,"おお、傘が入ってた。
忘れ物だな、貰っておこう。
良い子の皆は真似しちゃ駄目だぞ。",4,script_like,0x147175DF,,UNTRANSLATED
392,"こ、これは、この島の女性従業員の
写真入り名簿！！
ラッキー、もらっちゃうもんね。",4,script_like,0x147178E4,,UNTRANSLATED
393,"この位でかいと、観客で埋まっても
距離があるから、かえってアガらないかもしれない。",4,script_like,0x14906618,,UNTRANSLATED
394,"イベントの予定はないようだ。
見学者に解放しているはずだけど、
誰も見当たらない。",4,script_like,0x149060F4,,UNTRANSLATED
395,"中もやはりスケールがでかい。
並の建物には必要のない位の広さと
高さを誇っている。",4,script_like,0x1490605F,,UNTRANSLATED
396,"「トランスポート２１５１」
さすがに、人気があるようだ。
やっぱり満室になってる。",3,script_like,0x14A669D8,,UNTRANSLATED
397,"うわーーー！！！！
油断してるとびっくりするな。
せっかく曲がりそうだったのにー。",2,script_like,0x14756F6A,,UNTRANSLATED
398,"クリスタルのマスクか。
そのフォルムから屈折し、発せられる
ろうそくの光が美しい。",2,script_like,0x14A26E2A,,UNTRANSLATED
399,"美紅ちゃんの前で仕事をするのは
気が引けるけど。
ただ遊んでる訳にもいかないしな。",2,script_like,0x14886686,,UNTRANSLATED
400,"あ、そ、そうだ！
いま出てくれたら・・・ふぅうむ・・
い、いい物、あ・・・げるよ。",1,script_like,0x14A46696,,UNTRANSLATED
401,"あの〜、すみませ〜ん。
こっちには、紙がないんですけど
そちらには、ありますか〜。",1,script_like,0x14A57B5D,,UNTRANSLATED
402,"うん、そうだけど。
ところで、「ごめんなさい」って
謝られるようなことされたっけ？",1,script_like,0x1477699C,,UNTRANSLATED
403,"ははは・・・ケーセラーセラー、みーんな美紅ちゃんに任せちゃうよーん。
ははは・・・",1,script_like,0x148CF3ED,,UNTRANSLATED
404,"まだ出港していないということは
美紅ちゃんはまだこの島の
どこかにいるってことだ。",1,script_like,0x14AE7296,,UNTRANSLATED
405,"ハニー、敵の中に１体だけ本物がいて、
そいつが残りの２体の映像を
動かしてるんだ！",1,script_like,0x14BE7507,,UNTRANSLATED
406,"大丈夫だよ。ちゃんとある
ちゃんと・・・あれ？あれ、あれれ？？
あ！ほら、ここだ。",1,script_like,0x14BF5EF0,,UNTRANSLATED
407,"悪いけど、連れてってやれないよ。
きっと、他にも人が来るから
拾ってもらえるさ。",11,script_like,0x14AF602D,,UNTRANSLATED
408,"さっき、じいさんが言っていた
「パンサークロー」ってのはいったい
何者なんだい？",10,script_like,0x144F6C0D,,UNTRANSLATED
409,"ハニーちゃんを含めて８名。
みんなそれぞれのジャンルに合わせた
コスチュームだ。",10,script_like,0x148A73F7,,UNTRANSLATED
410,"美紅ちゃんから、メッセージがあったんだ。
でもなぜ、ここにいるのを知ってたんだ？",10,script_like,0x144F5EF9,,UNTRANSLATED
411,"豪華なホテルだ。
あの美女とじいさんが、このホテルに
泊っているはずなんだけど。",10,script_like,0x144F5886,,UNTRANSLATED
412,"そっか。ここで着替えをするんだな。
この場所は想像力をかきたてるものがあるなぁ。",7,script_like,0x149B7E87,,UNTRANSLATED
413,"何か場違いな場所にいるみたいで、恥ずかしい・・・。
早く戻って来てくれないかな。",7,script_like,0x149B7CE0,,UNTRANSLATED
414,"はぁ、気が重いな・・・。
「まゆこ」のこと、なんて伝えたら
いいんだろう・・・。",6,script_like,0x14757327,,UNTRANSLATED
415,"彼女がここにいたのは間違いない。
俺がここに来るのに５分と経って
いないはずだ。",6,script_like,0x14757EF9,,UNTRANSLATED
416,"人を捜しているんだけど、
記録を調べてもらえるかな？
名前は「鮎川みずえ」です。",5,script_like,0x1445D490,,UNTRANSLATED
417,"いったい、誰が作ったんだろう。
どの位の費用が掛かったのか、
見当も付かないな。",4,script_like,0x14905C81,,UNTRANSLATED
418,"ふーん。ここら辺は、野球で言う
レフトフェンス。
もちろん、野球もできるらしい。",4,script_like,0x149062AF,,UNTRANSLATED
419,"まだここで、開催されるイベントは
ないらしいが、見学位はさせて
もらえるらしい。",4,script_like,0x14905EB4,,UNTRANSLATED
420,"もし、それが一連の行方不明事件に
関連があるとしたら・・・。
こりゃ、参ったな。",4,script_like,0x14905D7B,,UNTRANSLATED
421,"オリンピックでも開く気かな。
それにしても、ここまで大きい競技場も
珍しいよな。",4,script_like,0x1490617B,,UNTRANSLATED
422,"床のグリップとクッションが
がやたらいい。
これだと広くても、意外と疲れないな。",4,script_like,0x1490624D,,UNTRANSLATED
423,"いいや・・・。
彼女は人間としての死を選んだんだ。
どのみち元には戻れなかった。",3,script_like,0x14BA6632,,UNTRANSLATED
424,"んーっと、妙、みょう・・・。
「言うに言われぬ程優れている事。」
違うな・・・。",3,script_like,0x146E5DBB,,UNTRANSLATED
425,"表札がある。
・・・吉田・・・吉田さんねぇ。
なんで、こんなとこに住んでるんだ？",3,script_like,0x14685C7E,,UNTRANSLATED
426,"いや、ほら、その、なんだ、あれだよ！
やつらが、どこに潜んでるとも
限らないし。",2,script_like,0x14996047,,UNTRANSLATED
427,"おお、これはＰＣーＦＸではないか。
ソフトは・・・っと、
キューティーハニーか。",2,script_like,0x146C5D27,,UNTRANSLATED
428,"おお、神よ！トイレの神よ！
我に、我に力を・・・じゃなかった
紙を与えたまえ〜！",2,script_like,0x14A47663,,UNTRANSLATED
429,"まぁ、落ち着いて下さい。
で、アウストラルアイランドから先の行方が分からないと？",2,script_like,0x14756B8E,,UNTRANSLATED
430,"落書がふえてる・・・


『この島の男子トイレって
 いつも混んでるんだよナー』",2,script_like,0x14A47225,,UNTRANSLATED
431,"そ、そんな〜。
こっちも・・・ぐむっ・・・う、ちょっと・・・
が、我慢が・・・。",1,script_like,0x14A46636,,UNTRANSLATED
432,"・・・あっ、あははははー。
う・そ・、嘘ですよー！
さー思いっきり暴れてこよー！",1,script_like,0x148CD0DA,,UNTRANSLATED
433,"さすがはＶＩＰが泊まるゲストハウスだ。
裏口といっても俺の家とはえらい違いだ。",12,script_like,0x14786F3F,,UNTRANSLATED
434,"結構大きな建物がある。
少し、他とは様子が違うな。
公開の施設ではなさそうだ。",12,script_like,0x14786854,,UNTRANSLATED
435,"ちきしょう・・・逃げられた。
道理で態度がおかしいと思ったぜ。
とほほ・・・。",10,script_like,0x144F66C0,,UNTRANSLATED
436,ポラロイドだからすぐに見られる。紙をめくるだけでいい。ちゃんと写っててくれよ。,10,script_like,0x144F683A,,UNTRANSLATED
437,"美紅ちゃんを含めて８名。
みんなそれぞれのジャンルに合わせた
コスチュームだ。",10,script_like,0x148A7493,,UNTRANSLATED
438,"ものすごく、思いっきり、不審だ。
そこらへんのロッカーとは
一味も二味も違う。",8,script_like,0x147173C1,,UNTRANSLATED
439,"Ｇｏ！Ｇｏ！Ｌｅｔ’ｓ　Ｇｏ！
Ｌｏｖｅｌｙ麗羅！！
・・・何やってんだ、俺。",7,script_like,0x149B78E8,,UNTRANSLATED
440,"いや、まだ分かりません。
実は僕たちも同じようなケースを
追っているんですよ。",6,script_like,0x14757907,,UNTRANSLATED
441,"へーっ！
こんな下着をつけてるんだ。
・・・ってこんなことしてる場合じゃない！",6,script_like,0x14757DE4,,UNTRANSLATED
442,"やっぱり、パスカードがないと
調査もできないや。
まずは、パスカードを探そう。",5,script_like,0x148A7098,,UNTRANSLATED
443,"コロシアムだ。
それにしても、まさか美紅ちゃんが
優勝するとは、思わなかった。",5,script_like,0x148A6FAA,,UNTRANSLATED
444,"コロシアムだ・・・。
パンサー魔女との戦いの後
何も開催されてはいない・・・。",5,script_like,0x148A6F08,,UNTRANSLATED
445,"パンサークローは、女の子しか
狙わないんだろ？
俺が出たって調査にならないよ。",5,script_like,0x148A6C6C,,UNTRANSLATED
446,"・・・トレーニングについて少しだけ・・。
まぁ、ここはあまり関係なさそうだな。",5,script_like,0x1494658B,,UNTRANSLATED
447,"外に出る扉だ。
バーチャルシアターから出るには、
この扉を通ればいいって訳だ。",5,script_like,0x14A9771B,,UNTRANSLATED
448,"「謎のロッカー男」？？
って、いや、だから、その・・・
そうじゃなくて・・・。",4,script_like,0x14717ED0,,UNTRANSLATED
449,"一企業じゃ、こんな資金は出し切れない。
と、いう事は政府も関わっているのかも。",4,script_like,0x14905D2D,,UNTRANSLATED
450,"地道にまわるのもいいけど、
もっと、こう、パーット一瞬で
見て回れないかなー。",4,script_like,0x14906012,,UNTRANSLATED
451,"おお、神よ！トイレの神よ
我に、我に力を・・・じゃなかった
紙を与えたまえ〜！",2,script_like,0x14A476B2,,UNTRANSLATED
452,"これは？
「Return To Zork」 好評発売中！！
これは、買いだぜ！",2,script_like,0x146C5F49,,UNTRANSLATED
453,"コテージの事務所だ
風景を壊さない様にここも
ログハウス風の構造になっている。",2,script_like,0x148861EB,,UNTRANSLATED
454,"お、お願い！
お金で良ければ、いくらでも
あっ・・・あげる・・・から・・・さ。",1,script_like,0x14A466F8,,UNTRANSLATED
455,"木洩れ日の差す、一面の森。
心地良い冷気と鮮やかな緑が、
辺りを支配している。",1,script_like,0x14776DD2,,UNTRANSLATED
456,"じゃあ、やっぱり窓か。
とほほ・・・。
正義の味方のイメージにはほど遠いな。",12,script_like,0x14786BF4,,UNTRANSLATED
457,"まるで他から隠れるかのように
ひっそりとした建物だ。
なんだか、怪しいよな。",12,script_like,0x14786480,,UNTRANSLATED
458,"ハニーちゃん。
ここは一度ホテルに戻って
これからの作戦を考えた方がいいな。",12,script_like,0x14787758,,UNTRANSLATED
459,"天気もいいし、ハニーちゃんと一緒だし。
これがドライブだったらよかったのに。",12,script_like,0x14787A4B,,UNTRANSLATED
460,"早まらないように、良く考えよう。
でも早く考えなきゃ
変身が終わってしまう。",12,script_like,0x14786EA2,,UNTRANSLATED
461,"そんな目をされてもなぁ・・・。
おまえを食わせて行く甲斐性は
俺には無いぞ。",11,script_like,0x14AF6896,,UNTRANSLATED
462,"こーゆーのは金額じゃないの。
ハニーちゃんだってお金の為じゃ
ないでしょう？",10,script_like,0x144F6D7C,,UNTRANSLATED
463,"いくらカラオケボックスでも
本当にボックスにするこたぁ
ないだろうに・・・。",6,script_like,0x14655C0B,,UNTRANSLATED
464,"うわ！
取っ手のところが汗と脂でベットリ。
掃除くらいきちんとして欲しいぞ。",5,script_like,0x14946D61,,UNTRANSLATED
465,"人を捜しているんだけど、
ちょっと調べてもらえるかな？
名前は「藤原美紅」。",5,script_like,0x1445D38F,,UNTRANSLATED
466,"優勝はしたけど、怪しいところなんか
ぜんぜん無いな。
結局、無駄骨だったか。",5,script_like,0x148A7906,,UNTRANSLATED
467,"昔、こんなＳＦドラマを見たぞ。
コンピューター、出るぞ。
なんちって・・・。",5,script_like,0x14A96EC6,,UNTRANSLATED
468,"ついに、謎を残したまま
いなくなってしまったか。
「謎のロッカー男」・・・。",4,script_like,0x14717200,,UNTRANSLATED
469,"へぇ、そうなんだ？
ところで、気になってたんだけど
なんで、ロッカーに・・・",4,script_like,0x14717B92,,UNTRANSLATED
470,だったら、パンチとかキックのような打撃技って奴には弱いんじゃないかなぁ・・・,2,script_like,0x148CDB2A,,UNTRANSLATED
